X,Y,Z,Normal_X,Normal_Y,Normal_Z,Feed_Rate,Is_Rapid
-141.119257,12.745432,-50.679590,-0.667397,0.243328,-0.703827,50.00,False
-141.133202,12.077854,-53.426534,-0.670186,0.109812,-0.734025,50.00,False
-141.133202,12.077854,-56.022492,-0.670186,0.109812,-0.734025,50.00,False
-140.449075,12.662679,-59.022938,-0.533361,0.226777,-0.814922,50.00,False
-140.449075,12.662679,-61.618896,-0.533361,0.226777,-0.814922,50.00,False
-140.086398,12.542391,-64.460383,-0.460825,0.202719,-0.864028,50.00,False
-140.086398,12.542391,-67.056340,-0.460825,0.202719,-0.864028,50.00,False
-140.086398,12.542391,-69.652298,-0.460825,0.202719,-0.864028,50.00,False
-139.713583,12.390142,-72.458910,-0.386262,0.172270,-0.906159,50.00,False
-139.713583,12.390142,-75.054868,-0.386262,0.172270,-0.906159,50.00,False
-139.241996,12.266094,-77.845025,-0.291945,0.147460,-0.944999,50.00,False
-139.241996,12.266094,-80.440982,-0.291945,0.147460,-0.944999,50.00,False
-138.972129,12.533992,-83.063134,-0.237971,0.201040,-0.950238,50.00,False
-138.972129,12.533992,-85.659092,-0.237971,0.201040,-0.950238,50.00,False
-138.972129,12.408425,-88.255049,-0.237971,0.201040,-0.950238,50.00,False
-138.972129,12.229254,-90.851007,-0.237971,0.201040,-0.950238,50.00,False
-134.826450,12.117428,-90.907266,-0.208836,0.178674,-0.961490,200.00,True
-134.826450,12.117428,-90.907266,-0.208836,0.178674,-0.961490,50.00,False
-134.826450,12.117428,-88.311308,-0.208836,0.178674,-0.961490,50.00,False
-134.826450,12.117428,-85.715351,-0.208836,0.178674,-0.961490,50.00,False
-134.826450,12.117428,-83.119393,-0.208836,0.178674,-0.961490,50.00,False
-134.972129,12.408425,-80.467177,-0.237971,0.201040,-0.950238,50.00,False
-134.972129,12.229254,-77.871220,-0.237971,0.201040,-0.950238,50.00,False
-134.972129,12.533992,-75.275262,-0.237971,0.201040,-0.950238,50.00,False
-134.972129,12.533992,-72.679305,-0.237971,0.201040,-0.950238,50.00,False
-134.972129,12.229254,-70.083347,-0.237971,0.201040,-0.950238,50.00,False
-135.241996,11.961356,-67.461195,-0.291945,0.147460,-0.944999,50.00,False
-135.820685,12.353220,-64.564024,-0.407683,0.225833,-0.884757,50.00,False
-136.086398,12.237653,-61.864425,-0.460825,0.202719,-0.864028,50.00,False
-136.086398,12.542391,-59.268468,-0.460825,0.202719,-0.864028,50.00,False
-136.096561,13.213267,-56.451956,-0.462858,0.336895,-0.819918,50.00,False
-136.096561,13.213267,-53.855999,-0.462858,0.336895,-0.819918,50.00,False
-135.991671,14.079625,-50.849873,-0.441880,0.510166,-0.737884,50.00,False
-137.282488,13.402939,-47.603586,-0.700043,0.374829,-0.607818,50.00,False
-137.282488,13.002229,-45.007629,-0.700043,0.374829,-0.607818,50.00,False
-137.931536,13.371796,-41.030701,-0.829853,0.448742,-0.331624,50.00,False
-138.141910,13.456881,-37.531776,-0.871928,0.465759,-0.151030,50.00,False
-137.761661,14.154838,-34.123929,-0.795878,0.605351,0.011347,50.00,False
-137.478295,14.378957,-30.706508,-0.739205,0.650175,0.175640,50.00,False
-137.635205,13.680199,-27.080449,-0.770587,0.510423,0.381660,50.00,False
-136.847643,13.984427,-23.414416,-0.613074,0.518951,0.595676,50.00,False
-135.833881,12.620415,-19.617324,-0.410322,0.364559,0.835902,50.00,False
-135.833881,12.620415,-17.021367,-0.410322,0.364559,0.835902,50.00,False
-137.174500,12.053612,-18.969996,-0.678446,0.731013,-0.073015,50.00,False
-134.281266,9.829211,-20.675277,-0.099799,0.345052,-0.933263,50.00,False
-134.137757,10.631618,-17.934748,-0.071097,0.420832,-0.904348,50.00,False
-134.137757,10.631618,-15.338790,-0.071097,0.420832,-0.904348,50.00,False
-134.803642,11.645587,-11.993898,-0.204274,0.623626,-0.754561,50.00,False
-135.110475,12.093433,-8.868543,-0.265641,0.713195,-0.648682,50.00,False
-134.641143,13.613340,-4.273892,-0.171774,0.953164,-0.248943,50.00,False
